,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,ZELENI-N,ZELENI-%,DESUS-N,DESUS-%,DD-N,DD-%,GAS-N,GAS-%,ZSI-N,ZSI-%,GSN-N,GSN-%,ZDRUŽENA DESNICA-N,ZDRUŽENA DESNICA-%,LEVICA-N,LEVICA-%,LMŠ-N,LMŠ-%,LNBP-N,LNBP-%,NPS-N,NPS-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,ReSET-N,ReSET-%,SDS-N,SDS-%,SLS-N,SLS-%,SNS-N,SNS-%,SMC-N,SMC-%,SPS-N,SPS-%,SD-N,SD-%,SOLIDARNOST-N,SOLIDARNOST-%,SSN-N,SSN-%,SAB-N,SAB-%,ZD-N,ZD-%
61,6,Novo mesto,7,Sevnica,15316,7802,0.5094,7802,7696,106,1.0,1,49.0,0.0064,359,0.0466,74,0.0096,10,0.0013,49,0.0064,20,0.0026,,,490,0.0637,1123,0.1459,39,0.0051,,,356,0.0463,106,0.0138,,,2506,0.3256,675,0.0877,353,0.0459,608,0.079,7.0,0.0009,451,0.0586,6,0.0008,14.0,0.0018,259,0.0337,28,0.0036
62,6,Novo mesto,8,Laško,15231,8033,0.5274,8033,7918,115,1.0,1,54.0,0.0068,286,0.0361,80,0.0101,14,0.0018,59,0.0075,18,0.0023,,,466,0.0589,756,0.0955,60,0.0076,,,580,0.0733,164,0.0207,,,1778,0.2246,518,0.0654,314,0.0397,513,0.0648,7.0,0.0009,1917,0.2421,10,0.0013,3.0,0.0004,249,0.0314,28,0.0035
63,6,Novo mesto,9,Hrastnik,8025,4061,0.506,4061,4014,47,1.0,2,13.0,0.0032,373,0.0929,53,0.0132,4,0.001,9,0.0022,10,0.0025,,,418,0.1041,589,0.1467,21,0.0052,,,89,0.0222,55,0.0137,,,487,0.1213,42,0.0105,162,0.0404,466,0.1161,28.0,0.007,800,0.1993,11,0.0027,1.0,0.0002,222,0.0553,10,0.0025
64,6,Novo mesto,10,Trbovlje,14019,7218,0.5149,7218,7128,90,1.0,1,76.0,0.0107,534,0.0749,139,0.0195,14,0.002,34,0.0048,17,0.0024,,,828,0.1162,954,0.1338,49,0.0069,,,269,0.0377,100,0.014,,,1230,0.1726,95,0.0133,259,0.0363,809,0.1135,15.0,0.0021,993,0.1393,33,0.0046,12.0,0.0017,472,0.0662,19,0.0027
65,6,Novo mesto,11,Zagorje ob Savi,14025,7641,0.5448,7641,7557,84,1.0,1,67.0,0.0089,411,0.0544,59,0.0078,10,0.0013,27,0.0036,20,0.0026,,,688,0.091,1454,0.1924,46,0.0061,,,391,0.0517,106,0.014,,,1260,0.1667,374,0.0495,299,0.0396,986,0.1305,21.0,0.0028,736,0.0974,8,0.0011,13.0,0.0017,475,0.0629,41,0.0054
66,7,Maribor,1,Šmarje pri Jelšah,27800,12789,0.46,12788,12656,132,1.0,1,109.0,0.0086,538,0.0425,163,0.0129,17,0.0013,102,0.0081,29,0.0023,35.0,0.0028,628,0.0496,1067,0.0843,82,0.0065,,,1478,0.1168,161,0.0127,17.0,0.0013,3313,0.2618,372,0.0294,769,0.0608,2502,0.1977,,,724,0.0572,22,0.0017,21.0,0.0017,373,0.0295,39,0.0031
67,7,Maribor,2,Slovenska Bistrica,30380,15675,0.516,15675,15505,170,1.0,1,291.0,0.0188,798,0.0515,210,0.0135,25,0.0016,132,0.0085,42,0.0027,51.0,0.0033,859,0.0554,1616,0.1042,100,0.0064,,,812,0.0524,276,0.0178,61.0,0.0039,4651,0.3,1338,0.0863,1100,0.0709,1242,0.0801,,,1228,0.0792,35,0.0023,28.0,0.0018,481,0.031,86,0.0055
68,7,Maribor,3,Slovenske Konjice,19126,10500,0.549,10500,10398,102,1.0,2,107.0,0.0103,379,0.0364,102,0.0098,9,0.0009,86,0.0083,23,0.0022,45.0,0.0043,422,0.0406,991,0.0953,58,0.0056,,,742,0.0714,130,0.0125,17.0,0.0016,3297,0.3171,659,0.0634,1006,0.0967,878,0.0844,,,1080,0.1039,14,0.0013,18.0,0.0017,255,0.0245,30,0.0029
69,7,Maribor,4,Ruše,13071,6606,0.5054,6606,6540,66,1.0,2,68.0,0.0104,757,0.1157,70,0.0107,12,0.0018,60,0.0092,50,0.0076,32.0,0.0049,719,0.1099,736,0.1125,51,0.0078,,,301,0.046,95,0.0145,59.0,0.009,1375,0.2102,41,0.0063,453,0.0693,618,0.0945,,,729,0.1115,15,0.0023,9.0,0.0014,238,0.0364,30,0.0046
70,7,Maribor,5,Maribor 1,18636,9742,0.5228,9742,9643,99,1.0,0,107.0,0.0111,412,0.0427,190,0.0197,27,0.0028,53,0.0055,31,0.0032,98.0,0.0102,903,0.0936,1058,0.1097,171,0.0177,,,500,0.0519,192,0.0199,108.0,0.0112,2202,0.2284,295,0.0306,504,0.0523,1164,0.1207,,,964,0.1,30,0.0031,24.0,0.0025,472,0.0489,59,0.0061
71,7,Maribor,6,Maribor 2,21278,11019,0.5179,11014,10909,105,1.0,0,235.0,0.0215,565,0.0518,211,0.0193,32,0.0029,114,0.0105,54,0.005,87.0,0.008,814,0.0746,1260,0.1155,140,0.0128,,,538,0.0493,204,0.0187,168.0,0.0154,2694,0.247,233,0.0214,678,0.0622,1164,0.1067,,,1034,0.0948,37,0.0034,32.0,0.0029,517,0.0474,56,0.0051
72,7,Maribor,7,Maribor 3,19064,9169,0.481,9168,9071,97,1.0,1,169.0,0.0186,373,0.0411,112,0.0123,16,0.0018,78,0.0086,41,0.0045,570.0,0.0628,669,0.0738,906,0.0999,119,0.0131,,,455,0.0502,166,0.0183,154.0,0.017,2500,0.2756,145,0.016,489,0.0539,893,0.0984,,,700,0.0772,17,0.0019,25.0,0.0028,395,0.0435,46,0.0051
73,7,Maribor,8,Maribor 4,14763,7231,0.4898,7231,7171,60,1.0,1,108.0,0.0151,356,0.0496,161,0.0225,22,0.0031,44,0.0061,37,0.0052,67.0,0.0093,1155,0.1611,601,0.0838,142,0.0198,,,303,0.0423,211,0.0294,86.0,0.012,1358,0.1894,37,0.0052,281,0.0392,886,0.1236,,,791,0.1103,19,0.0026,7.0,0.001,413,0.0576,61,0.0085
74,7,Maribor,9,Maribor 5,16851,7704,0.4572,7702,7620,82,1.0,0,104.0,0.0136,482,0.0633,144,0.0189,15,0.002,81,0.0106,29,0.0038,70.0,0.0092,881,0.1156,856,0.1123,104,0.0136,,,368,0.0483,172,0.0226,90.0,0.0118,1520,0.1995,68,0.0089,440,0.0577,901,0.1182,,,742,0.0974,14,0.0018,12.0,0.0016,439,0.0576,55,0.0072
75,7,Maribor,10,Maribor 6,16929,8647,0.5108,8647,8570,77,1.0,2,82.0,0.0096,514,0.06,167,0.0195,23,0.0027,70,0.0082,43,0.005,79.0,0.0092,1020,0.119,957,0.1117,129,0.0151,,,339,0.0396,184,0.0215,130.0,0.0152,1750,0.2042,49,0.0057,421,0.0491,1088,0.127,,,905,0.1056,6,0.0007,14.0,0.0016,500,0.0583,56,0.0065
76,7,Maribor,11,Maribor 7,15267,6789,0.4447,6786,6708,78,1.0,1,90.0,0.0134,443,0.066,102,0.0152,19,0.0028,129,0.0192,27,0.004,54.0,0.0081,801,0.1194,816,0.1216,99,0.0148,,,239,0.0356,128,0.0191,90.0,0.0134,1411,0.2103,44,0.0066,394,0.0587,705,0.1051,,,640,0.0954,17,0.0025,10.0,0.0015,370,0.0552,32,0.0048
77,8,Ptuj,1,Lendava,21967,9393,0.4276,9392,9252,140,1.0,1,52.0,0.0056,524,0.0566,54,0.0058,23,0.0025,51,0.0055,16,0.0017,8.0,0.0009,531,0.0574,850,0.0919,37,0.004,,,1624,0.1755,146,0.0158,66.0,0.0071,2772,0.2996,192,0.0208,321,0.0347,820,0.0886,11.0,0.0012,808,0.0873,15,0.0016,24.0,0.0026,244,0.0264,32,0.0035
78,8,Ptuj,2,Ormož,14714,7633,0.5188,7633,7552,81,1.0,3,247.0,0.0327,522,0.0691,85,0.0113,6,0.0008,63,0.0083,12,0.0016,13.0,0.0017,309,0.0409,954,0.1263,28,0.0037,,,618,0.0818,60,0.0079,64.0,0.0085,2062,0.273,216,0.0286,743,0.0984,805,0.1066,5.0,0.0007,464,0.0614,8,0.0011,28.0,0.0037,202,0.0267,24,0.0032
79,8,Ptuj,3,Ljutomer,15662,8005,0.5111,8005,7905,100,1.0,1,106.0,0.0134,820,0.1037,68,0.0086,14,0.0018,46,0.0058,8,0.001,12.0,0.0015,548,0.0693,983,0.1244,32,0.004,,,531,0.0672,109,0.0138,82.0,0.0104,1840,0.2328,321,0.0406,444,0.0562,786,0.0994,13.0,0.0016,767,0.097,41,0.0052,11.0,0.0014,275,0.0348,37,0.0047
80,8,Ptuj,4,Murska Sobota 1,25380,12273,0.4836,12273,12170,103,1.0,0,76.0,0.0062,611,0.0502,77,0.0063,41,0.0034,64,0.0053,18,0.0015,11.0,0.0009,607,0.0499,1196,0.0983,200,0.0164,,,646,0.0531,120,0.0099,389.0,0.032,3103,0.255,797,0.0655,553,0.0454,1023,0.0841,30.0,0.0025,1961,0.1611,19,0.0016,34.0,0.0028,476,0.0391,60,0.0049
81,8,Ptuj,5,Murska Sobota 2,25469,13283,0.5215,13283,13159,124,1.0,1,79.0,0.006,532,0.0404,106,0.0081,29,0.0022,54,0.0041,23,0.0017,50.0,0.0038,1076,0.0818,1130,0.0859,93,0.0071,,,979,0.0744,235,0.0179,162.0,0.0123,2880,0.2189,348,0.0264,610,0.0464,1270,0.0965,41.0,0.0031,2803,0.213,16,0.0012,21.0,0.0016,532,0.0404,53,0.004
82,8,Ptuj,6,Gornja Radgona,18205,9020,0.4955,9019,8914,105,1.0,0,72.0,0.0081,566,0.0635,129,0.0145,20,0.0022,60,0.0067,16,0.0018,16.0,0.0018,527,0.0591,1013,0.1136,37,0.0042,,,568,0.0637,126,0.0141,572.0,0.0642,2186,0.2452,347,0.0389,431,0.0484,643,0.0721,8.0,0.0009,1135,0.1273,24,0.0027,29.0,0.0033,264,0.0296,85,0.0095
83,8,Ptuj,7,Lenart,16209,7769,0.4793,7769,7705,64,1.0,1,166.0,0.0215,221,0.0287,47,0.0061,13,0.0017,47,0.0061,13,0.0017,30.0,0.0039,357,0.0463,808,0.1049,47,0.0061,,,813,0.1055,98,0.0127,228.0,0.0296,2697,0.35,152,0.0197,346,0.0449,659,0.0855,10.0,0.0013,539,0.07,5,0.0006,16.0,0.0021,265,0.0344,69,0.009
84,8,Ptuj,8,Pesnica,16733,8189,0.4894,8189,8100,89,1.0,1,78.0,0.0096,383,0.0473,75,0.0093,116,0.0143,83,0.0102,34,0.0042,32.0,0.004,465,0.0574,863,0.1065,81,0.01,,,493,0.0609,127,0.0157,215.0,0.0265,2861,0.3532,141,0.0174,352,0.0435,656,0.081,13.0,0.0016,667,0.0823,10,0.0012,13.0,0.0016,283,0.0349,43,0.0053
85,8,Ptuj,9,Ptuj 1,21560,11207,0.5198,11207,11105,102,1.0,1,1043.0,0.0939,366,0.033,133,0.012,19,0.0017,88,0.0079,36,0.0032,138.0,0.0124,501,0.0451,986,0.0888,49,0.0044,,,820,0.0738,140,0.0126,134.0,0.0121,3406,0.3067,581,0.0523,747,0.0673,632,0.0569,31.0,0.0028,714,0.0643,15,0.0014,35.0,0.0032,416,0.0375,50,0.0045
86,8,Ptuj,10,Ptuj 2,17487,9157,0.5236,9157,9079,78,1.0,1,727.0,0.0801,545,0.06,125,0.0138,21,0.0023,56,0.0062,44,0.0048,18.0,0.002,782,0.0861,770,0.0848,64,0.007,,,432,0.0476,171,0.0188,48.0,0.0053,2374,0.2615,215,0.0237,391,0.0431,672,0.074,23.0,0.0025,1052,0.1159,14,0.0015,26.0,0.0029,442,0.0487,47,0.0052
87,8,Ptuj,11,Ptuj 3,20070,9538,0.4752,9538,9420,118,1.0,1,436.0,0.0463,733,0.0778,71,0.0075,25,0.0027,55,0.0058,48,0.0051,31.0,0.0033,397,0.0421,925,0.0982,44,0.0047,,,563,0.0598,98,0.0104,65.0,0.0069,3265,0.3466,549,0.0583,483,0.0513,681,0.0723,10.0,0.0011,607,0.0644,14,0.0015,32.0,0.0034,243,0.0258,21,0.0022
